State/territory,School sector,School level,Schools
Australian Capital Territory,Catholic,Combined,3
Australian Capital Territory,Catholic,Primary,22
Australian Capital Territory,Catholic,Secondary,5
Australian Capital Territory,Catholic,Special,0
Australian Capital Territory,Government,Combined,8
Australian Capital Territory,Government,Primary,55
Australian Capital Territory,Government,Secondary,19
Australian Capital Territory,Government,Special,4
Australian Capital Territory,Independent,Combined,11
Australian Capital Territory,Independent,Primary,2
Australian Capital Territory,Independent,Secondary,0
Australian Capital Territory,Independent,Special,1
New South Wales,Catholic,Combined,31
New South Wales,Catholic,Primary,417
New South Wales,Catholic,Secondary,130
New South Wales,Catholic,Special,9
New South Wales,Government,Combined,65
New South Wales,Government,Primary,1619
New South Wales,Government,Secondary,370
New South Wales,Government,Special,111
New South Wales,Independent,Combined,206
New South Wales,Independent,Primary,74
New South Wales,Independent,Secondary,14
New South Wales,Independent,Special,37
Northern Territory,Catholic,Combined,5
Northern Territory,Catholic,Primary,7
Northern Territory,Catholic,Secondary,4
Northern Territory,Catholic,Special,1
Northern Territory,Government,Combined,66
Northern Territory,Government,Primary,68
Northern Territory,Government,Secondary,14
Northern Territory,Government,Special,4
Northern Territory,Independent,Combined,12
Northern Territory,Independent,Primary,4
Northern Territory,Independent,Secondary,5
Northern Territory,Independent,Special,0
Queensland,Catholic,Combined,29
Queensland,Catholic,Primary,196
Queensland,Catholic,Secondary,61
Queensland,Catholic,Special,11
Queensland,Government,Combined,89
Queensland,Government,Primary,915
Queensland,Government,Secondary,182
Queensland,Government,Special,46
Queensland,Independent,Combined,135
Queensland,Independent,Primary,29
Queensland,Independent,Secondary,11
Queensland,Independent,Special,11
South Australia,Catholic,Combined,23
South Australia,Catholic,Primary,67
South Australia,Catholic,Secondary,11
South Australia,Catholic,Special,2
South Australia,Government,Combined,77
South Australia,Government,Primary,365
South Australia,Government,Secondary,65
South Australia,Government,Special,18
South Australia,Independent,Combined,53
South Australia,Independent,Primary,32
South Australia,Independent,Secondary,7
South Australia,Independent,Special,1
Tasmania,Catholic,Combined,8
Tasmania,Catholic,Primary,24
Tasmania,Catholic,Secondary,5
Tasmania,Catholic,Special,0
Tasmania,Government,Combined,25
Tasmania,Government,Primary,127
Tasmania,Government,Secondary,36
Tasmania,Government,Special,4
Tasmania,Independent,Combined,22
Tasmania,Independent,Primary,5
Tasmania,Independent,Secondary,0
Tasmania,Independent,Special,1
Victoria,Catholic,Combined,14
Victoria,Catholic,Primary,383
Victoria,Catholic,Secondary,85
Victoria,Catholic,Special,7
Victoria,Government,Combined,80
Victoria,Government,Primary,1127
Victoria,Government,Secondary,238
Victoria,Government,Special,79
Victoria,Independent,Combined,140
Victoria,Independent,Primary,39
Victoria,Independent,Secondary,12
Victoria,Independent,Special,13
Western Australia,Catholic,Combined,43
Western Australia,Catholic,Primary,113
Western Australia,Catholic,Secondary,3
Western Australia,Catholic,Special,3
Western Australia,Government,Combined,90
Western Australia,Government,Primary,523
Western Australia,Government,Secondary,98
Western Australia,Government,Special,64
Western Australia,Independent,Combined,90
Western Australia,Independent,Primary,37
Western Australia,Independent,Secondary,4
Western Australia,Independent,Special,8
