State/territory,School sector,School level,Schools
Australian Capital Territory,Catholic,Combined,3
Australian Capital Territory,Catholic,Primary,22
Australian Capital Territory,Catholic,Secondary,5
Australian Capital Territory,Catholic,Special,0
Australian Capital Territory,Government,Combined,8
Australian Capital Territory,Government,Primary,56
Australian Capital Territory,Government,Secondary,19
Australian Capital Territory,Government,Special,4
Australian Capital Territory,Independent,Combined,11
Australian Capital Territory,Independent,Primary,3
Australian Capital Territory,Independent,Secondary,0
Australian Capital Territory,Independent,Special,1
New South Wales,Catholic,Combined,30
New South Wales,Catholic,Primary,422
New South Wales,Catholic,Secondary,127
New South Wales,Catholic,Special,11
New South Wales,Government,Combined,65
New South Wales,Government,Primary,1609
New South Wales,Government,Secondary,369
New South Wales,Government,Special,109
New South Wales,Independent,Combined,209
New South Wales,Independent,Primary,72
New South Wales,Independent,Secondary,15
New South Wales,Independent,Special,43
Northern Territory,Catholic,Combined,5
Northern Territory,Catholic,Primary,7
Northern Territory,Catholic,Secondary,4
Northern Territory,Catholic,Special,1
Northern Territory,Government,Combined,57
Northern Territory,Government,Primary,75
Northern Territory,Government,Secondary,15
Northern Territory,Government,Special,4
Northern Territory,Independent,Combined,13
Northern Territory,Independent,Primary,3
Northern Territory,Independent,Secondary,4
Northern Territory,Independent,Special,0
Queensland,Catholic,Combined,33
Queensland,Catholic,Primary,194
Queensland,Catholic,Secondary,61
Queensland,Catholic,Special,13
Queensland,Government,Combined,89
Queensland,Government,Primary,915
Queensland,Government,Secondary,184
Queensland,Government,Special,45
Queensland,Independent,Combined,142
Queensland,Independent,Primary,25
Queensland,Independent,Secondary,10
Queensland,Independent,Special,18
South Australia,Catholic,Combined,23
South Australia,Catholic,Primary,67
South Australia,Catholic,Secondary,10
South Australia,Catholic,Special,3
South Australia,Government,Combined,75
South Australia,Government,Primary,359
South Australia,Government,Secondary,66
South Australia,Government,Special,18
South Australia,Independent,Combined,57
South Australia,Independent,Primary,32
South Australia,Independent,Secondary,5
South Australia,Independent,Special,2
Tasmania,Catholic,Combined,8
Tasmania,Catholic,Primary,24
Tasmania,Catholic,Secondary,5
Tasmania,Catholic,Special,1
Tasmania,Government,Combined,25
Tasmania,Government,Primary,126
Tasmania,Government,Secondary,37
Tasmania,Government,Special,4
Tasmania,Independent,Combined,22
Tasmania,Independent,Primary,6
Tasmania,Independent,Secondary,0
Tasmania,Independent,Special,1
Victoria,Catholic,Combined,13
Victoria,Catholic,Primary,388
Victoria,Catholic,Secondary,86
Victoria,Catholic,Special,7
Victoria,Government,Combined,81
Victoria,Government,Primary,1122
Victoria,Government,Secondary,239
Victoria,Government,Special,80
Victoria,Independent,Combined,142
Victoria,Independent,Primary,41
Victoria,Independent,Secondary,8
Victoria,Independent,Special,18
Western Australia,Catholic,Combined,23
Western Australia,Catholic,Primary,115
Western Australia,Catholic,Secondary,23
Western Australia,Catholic,Special,4
Western Australia,Government,Combined,90
Western Australia,Government,Primary,518
Western Australia,Government,Secondary,106
Western Australia,Government,Special,65
Western Australia,Independent,Combined,92
Western Australia,Independent,Primary,32
Western Australia,Independent,Secondary,6
Western Australia,Independent,Special,9
