State/territory,School sector,School level,Schools
Australian Capital Territory,Catholic,Combined,2
Australian Capital Territory,Catholic,Primary,23
Australian Capital Territory,Catholic,Secondary,5
Australian Capital Territory,Catholic,Special,0
Australian Capital Territory,Government,Combined,7
Australian Capital Territory,Government,Primary,55
Australian Capital Territory,Government,Secondary,17
Australian Capital Territory,Government,Special,4
Australian Capital Territory,Independent,Combined,10
Australian Capital Territory,Independent,Primary,3
Australian Capital Territory,Independent,Secondary,1
Australian Capital Territory,Independent,Special,0
New South Wales,Catholic,Combined,29
New South Wales,Catholic,Primary,421
New South Wales,Catholic,Secondary,130
New South Wales,Catholic,Special,7
New South Wales,Government,Combined,66
New South Wales,Government,Primary,1630
New South Wales,Government,Secondary,370
New South Wales,Government,Special,110
New South Wales,Independent,Combined,202
New South Wales,Independent,Primary,78
New South Wales,Independent,Secondary,21
New South Wales,Independent,Special,28
Northern Territory,Catholic,Combined,5
Northern Territory,Catholic,Primary,7
Northern Territory,Catholic,Secondary,3
Northern Territory,Catholic,Special,0
Northern Territory,Government,Combined,71
Northern Territory,Government,Primary,62
Northern Territory,Government,Secondary,14
Northern Territory,Government,Special,5
Northern Territory,Independent,Combined,11
Northern Territory,Independent,Primary,4
Northern Territory,Independent,Secondary,6
Northern Territory,Independent,Special,0
Queensland,Catholic,Combined,26
Queensland,Catholic,Primary,196
Queensland,Catholic,Secondary,61
Queensland,Catholic,Special,7
Queensland,Government,Combined,90
Queensland,Government,Primary,920
Queensland,Government,Secondary,179
Queensland,Government,Special,46
Queensland,Independent,Combined,124
Queensland,Independent,Primary,34
Queensland,Independent,Secondary,12
Queensland,Independent,Special,7
South Australia,Catholic,Combined,22
South Australia,Catholic,Primary,68
South Australia,Catholic,Secondary,9
South Australia,Catholic,Special,2
South Australia,Government,Combined,75
South Australia,Government,Primary,414
South Australia,Government,Secondary,71
South Australia,Government,Special,19
South Australia,Independent,Combined,46
South Australia,Independent,Primary,38
South Australia,Independent,Secondary,10
South Australia,Independent,Special,1
Tasmania,Catholic,Combined,8
Tasmania,Catholic,Primary,24
Tasmania,Catholic,Secondary,5
Tasmania,Catholic,Special,0
Tasmania,Government,Combined,25
Tasmania,Government,Primary,136
Tasmania,Government,Secondary,36
Tasmania,Government,Special,5
Tasmania,Independent,Combined,23
Tasmania,Independent,Primary,5
Tasmania,Independent,Secondary,1
Tasmania,Independent,Special,0
Victoria,Catholic,Combined,14
Victoria,Catholic,Primary,381
Victoria,Catholic,Secondary,86
Victoria,Catholic,Special,8
Victoria,Government,Combined,71
Victoria,Government,Primary,1153
Victoria,Government,Secondary,248
Victoria,Government,Special,76
Victoria,Independent,Combined,140
Victoria,Independent,Primary,46
Victoria,Independent,Secondary,15
Victoria,Independent,Special,13
Western Australia,Catholic,Combined,42
Western Australia,Catholic,Primary,110
Western Australia,Catholic,Secondary,4
Western Australia,Catholic,Special,3
Western Australia,Government,Combined,93
Western Australia,Government,Primary,509
Western Australia,Government,Secondary,99
Western Australia,Government,Special,67
Western Australia,Independent,Combined,85
Western Australia,Independent,Primary,40
Western Australia,Independent,Secondary,7
Western Australia,Independent,Special,6
