State/territory,School sector,School level,Schools
Australian Capital Territory,Catholic,Combined,2
Australian Capital Territory,Catholic,Primary,24
Australian Capital Territory,Catholic,Secondary,6
Australian Capital Territory,Catholic,Special,0
Australian Capital Territory,Government,Combined,8
Australian Capital Territory,Government,Primary,56
Australian Capital Territory,Government,Secondary,19
Australian Capital Territory,Government,Special,4
Australian Capital Territory,Independent,Combined,11
Australian Capital Territory,Independent,Primary,3
Australian Capital Territory,Independent,Secondary,0
Australian Capital Territory,Independent,Special,1
New South Wales,Catholic,Combined,31
New South Wales,Catholic,Primary,424
New South Wales,Catholic,Secondary,127
New South Wales,Catholic,Special,11
New South Wales,Government,Combined,65
New South Wales,Government,Primary,1607
New South Wales,Government,Secondary,369
New South Wales,Government,Special,110
New South Wales,Independent,Combined,212
New South Wales,Independent,Primary,71
New South Wales,Independent,Secondary,14
New South Wales,Independent,Special,46
Northern Territory,Catholic,Combined,5
Northern Territory,Catholic,Primary,7
Northern Territory,Catholic,Secondary,4
Northern Territory,Catholic,Special,1
Northern Territory,Government,Combined,65
Northern Territory,Government,Primary,67
Northern Territory,Government,Secondary,16
Northern Territory,Government,Special,5
Northern Territory,Independent,Combined,13
Northern Territory,Independent,Primary,3
Northern Territory,Independent,Secondary,4
Northern Territory,Independent,Special,0
Queensland,Catholic,Combined,34
Queensland,Catholic,Primary,195
Queensland,Catholic,Secondary,61
Queensland,Catholic,Special,13
Queensland,Government,Combined,92
Queensland,Government,Primary,912
Queensland,Government,Secondary,184
Queensland,Government,Special,46
Queensland,Independent,Combined,142
Queensland,Independent,Primary,27
Queensland,Independent,Secondary,12
Queensland,Independent,Special,19
South Australia,Catholic,Combined,23
South Australia,Catholic,Primary,67
South Australia,Catholic,Secondary,10
South Australia,Catholic,Special,3
South Australia,Government,Combined,76
South Australia,Government,Primary,354
South Australia,Government,Secondary,65
South Australia,Government,Special,18
South Australia,Independent,Combined,58
South Australia,Independent,Primary,32
South Australia,Independent,Secondary,5
South Australia,Independent,Special,3
Tasmania,Catholic,Combined,8
Tasmania,Catholic,Primary,24
Tasmania,Catholic,Secondary,5
Tasmania,Catholic,Special,1
Tasmania,Government,Combined,25
Tasmania,Government,Primary,126
Tasmania,Government,Secondary,37
Tasmania,Government,Special,4
Tasmania,Independent,Combined,22
Tasmania,Independent,Primary,7
Tasmania,Independent,Secondary,1
Tasmania,Independent,Special,1
Victoria,Catholic,Combined,14
Victoria,Catholic,Primary,388
Victoria,Catholic,Secondary,85
Victoria,Catholic,Special,6
Victoria,Government,Combined,82
Victoria,Government,Primary,1124
Victoria,Government,Secondary,239
Victoria,Government,Special,80
Victoria,Independent,Combined,143
Victoria,Independent,Primary,41
Victoria,Independent,Secondary,9
Victoria,Independent,Special,22
Western Australia,Catholic,Combined,24
Western Australia,Catholic,Primary,114
Western Australia,Catholic,Secondary,23
Western Australia,Catholic,Special,4
Western Australia,Government,Combined,89
Western Australia,Government,Primary,523
Western Australia,Government,Secondary,107
Western Australia,Government,Special,65
Western Australia,Independent,Combined,92
Western Australia,Independent,Primary,32
Western Australia,Independent,Secondary,6
Western Australia,Independent,Special,9
