State/territory,School sector,School level,Schools
Australian Capital Territory,Catholic,Combined,2
Australian Capital Territory,Catholic,Primary,23
Australian Capital Territory,Catholic,Secondary,5
Australian Capital Territory,Catholic,Special,0
Australian Capital Territory,Government,Combined,9
Australian Capital Territory,Government,Primary,53
Australian Capital Territory,Government,Secondary,18
Australian Capital Territory,Government,Special,4
Australian Capital Territory,Independent,Combined,11
Australian Capital Territory,Independent,Primary,2
Australian Capital Territory,Independent,Secondary,0
Australian Capital Territory,Independent,Special,1
New South Wales,Catholic,Combined,29
New South Wales,Catholic,Primary,420
New South Wales,Catholic,Secondary,131
New South Wales,Catholic,Special,7
New South Wales,Government,Combined,66
New South Wales,Government,Primary,1631
New South Wales,Government,Secondary,370
New South Wales,Government,Special,110
New South Wales,Independent,Combined,206
New South Wales,Independent,Primary,73
New South Wales,Independent,Secondary,22
New South Wales,Independent,Special,32
Northern Territory,Catholic,Combined,5
Northern Territory,Catholic,Primary,7
Northern Territory,Catholic,Secondary,3
Northern Territory,Catholic,Special,0
Northern Territory,Government,Combined,69
Northern Territory,Government,Primary,66
Northern Territory,Government,Secondary,14
Northern Territory,Government,Special,5
Northern Territory,Independent,Combined,11
Northern Territory,Independent,Primary,4
Northern Territory,Independent,Secondary,6
Northern Territory,Independent,Special,0
Queensland,Catholic,Combined,26
Queensland,Catholic,Primary,198
Queensland,Catholic,Secondary,61
Queensland,Catholic,Special,7
Queensland,Government,Combined,91
Queensland,Government,Primary,921
Queensland,Government,Secondary,179
Queensland,Government,Special,46
Queensland,Independent,Combined,126
Queensland,Independent,Primary,33
Queensland,Independent,Secondary,11
Queensland,Independent,Special,9
South Australia,Catholic,Combined,22
South Australia,Catholic,Primary,68
South Australia,Catholic,Secondary,11
South Australia,Catholic,Special,2
South Australia,Government,Combined,76
South Australia,Government,Primary,395
South Australia,Government,Secondary,68
South Australia,Government,Special,18
South Australia,Independent,Combined,47
South Australia,Independent,Primary,36
South Australia,Independent,Secondary,8
South Australia,Independent,Special,1
Tasmania,Catholic,Combined,8
Tasmania,Catholic,Primary,24
Tasmania,Catholic,Secondary,5
Tasmania,Catholic,Special,0
Tasmania,Government,Combined,26
Tasmania,Government,Primary,128
Tasmania,Government,Secondary,31
Tasmania,Government,Special,5
Tasmania,Independent,Combined,23
Tasmania,Independent,Primary,4
Tasmania,Independent,Secondary,0
Tasmania,Independent,Special,1
Victoria,Catholic,Combined,14
Victoria,Catholic,Primary,381
Victoria,Catholic,Secondary,85
Victoria,Catholic,Special,7
Victoria,Government,Combined,76
Victoria,Government,Primary,1140
Victoria,Government,Secondary,244
Victoria,Government,Special,76
Victoria,Independent,Combined,141
Victoria,Independent,Primary,42
Victoria,Independent,Secondary,15
Victoria,Independent,Special,13
Western Australia,Catholic,Combined,42
Western Australia,Catholic,Primary,110
Western Australia,Catholic,Secondary,4
Western Australia,Catholic,Special,3
Western Australia,Government,Combined,91
Western Australia,Government,Primary,513
Western Australia,Government,Secondary,99
Western Australia,Government,Special,67
Western Australia,Independent,Combined,88
Western Australia,Independent,Primary,40
Western Australia,Independent,Secondary,6
Western Australia,Independent,Special,8
