State/territory,School sector,School level,Schools
Australian Capital Territory,Catholic,Combined,3
Australian Capital Territory,Catholic,Primary,22
Australian Capital Territory,Catholic,Secondary,5
Australian Capital Territory,Catholic,Special,0
Australian Capital Territory,Government,Combined,9
Australian Capital Territory,Government,Primary,55
Australian Capital Territory,Government,Secondary,18
Australian Capital Territory,Government,Special,4
Australian Capital Territory,Independent,Combined,10
Australian Capital Territory,Independent,Primary,3
Australian Capital Territory,Independent,Secondary,0
Australian Capital Territory,Independent,Special,1
New South Wales,Catholic,Combined,31
New South Wales,Catholic,Primary,417
New South Wales,Catholic,Secondary,129
New South Wales,Catholic,Special,9
New South Wales,Government,Combined,66
New South Wales,Government,Primary,1618
New South Wales,Government,Secondary,370
New South Wales,Government,Special,110
New South Wales,Independent,Combined,207
New South Wales,Independent,Primary,72
New South Wales,Independent,Secondary,16
New South Wales,Independent,Special,36
Northern Territory,Catholic,Combined,5
Northern Territory,Catholic,Primary,7
Northern Territory,Catholic,Secondary,4
Northern Territory,Catholic,Special,1
Northern Territory,Government,Combined,71
Northern Territory,Government,Primary,63
Northern Territory,Government,Secondary,15
Northern Territory,Government,Special,5
Northern Territory,Independent,Combined,12
Northern Territory,Independent,Primary,4
Northern Territory,Independent,Secondary,5
Northern Territory,Independent,Special,0
Queensland,Catholic,Combined,28
Queensland,Catholic,Primary,197
Queensland,Catholic,Secondary,61
Queensland,Catholic,Special,11
Queensland,Government,Combined,90
Queensland,Government,Primary,920
Queensland,Government,Secondary,182
Queensland,Government,Special,46
Queensland,Independent,Combined,130
Queensland,Independent,Primary,33
Queensland,Independent,Secondary,12
Queensland,Independent,Special,9
South Australia,Catholic,Combined,23
South Australia,Catholic,Primary,67
South Australia,Catholic,Secondary,11
South Australia,Catholic,Special,2
South Australia,Government,Combined,75
South Australia,Government,Primary,368
South Australia,Government,Secondary,66
South Australia,Government,Special,18
South Australia,Independent,Combined,50
South Australia,Independent,Primary,33
South Australia,Independent,Secondary,8
South Australia,Independent,Special,1
Tasmania,Catholic,Combined,8
Tasmania,Catholic,Primary,24
Tasmania,Catholic,Secondary,5
Tasmania,Catholic,Special,0
Tasmania,Government,Combined,25
Tasmania,Government,Primary,131
Tasmania,Government,Secondary,38
Tasmania,Government,Special,4
Tasmania,Independent,Combined,23
Tasmania,Independent,Primary,4
Tasmania,Independent,Secondary,0
Tasmania,Independent,Special,1
Victoria,Catholic,Combined,14
Victoria,Catholic,Primary,381
Victoria,Catholic,Secondary,85
Victoria,Catholic,Special,7
Victoria,Government,Combined,79
Victoria,Government,Primary,1130
Victoria,Government,Secondary,239
Victoria,Government,Special,78
Victoria,Independent,Combined,140
Victoria,Independent,Primary,41
Victoria,Independent,Secondary,12
Victoria,Independent,Special,13
Western Australia,Catholic,Combined,43
Western Australia,Catholic,Primary,111
Western Australia,Catholic,Secondary,3
Western Australia,Catholic,Special,3
Western Australia,Government,Combined,90
Western Australia,Government,Primary,517
Western Australia,Government,Secondary,97
Western Australia,Government,Special,64
Western Australia,Independent,Combined,89
Western Australia,Independent,Primary,38
Western Australia,Independent,Secondary,4
Western Australia,Independent,Special,8
