State/territory,School sector,School level,Schools
Australian Capital Territory,Catholic,Combined,2
Australian Capital Territory,Catholic,Primary,23
Australian Capital Territory,Catholic,Secondary,5
Australian Capital Territory,Catholic,Special,0
Australian Capital Territory,Government,Combined,9
Australian Capital Territory,Government,Primary,53
Australian Capital Territory,Government,Secondary,18
Australian Capital Territory,Government,Special,4
Australian Capital Territory,Independent,Combined,11
Australian Capital Territory,Independent,Primary,2
Australian Capital Territory,Independent,Secondary,0
Australian Capital Territory,Independent,Special,1
New South Wales,Catholic,Combined,32
New South Wales,Catholic,Primary,417
New South Wales,Catholic,Secondary,129
New South Wales,Catholic,Special,7
New South Wales,Government,Combined,66
New South Wales,Government,Primary,1623
New South Wales,Government,Secondary,370
New South Wales,Government,Special,110
New South Wales,Independent,Combined,205
New South Wales,Independent,Primary,73
New South Wales,Independent,Secondary,16
New South Wales,Independent,Special,34
Northern Territory,Catholic,Combined,5
Northern Territory,Catholic,Primary,7
Northern Territory,Catholic,Secondary,4
Northern Territory,Catholic,Special,1
Northern Territory,Government,Combined,73
Northern Territory,Government,Primary,60
Northern Territory,Government,Secondary,15
Northern Territory,Government,Special,5
Northern Territory,Independent,Combined,12
Northern Territory,Independent,Primary,4
Northern Territory,Independent,Secondary,5
Northern Territory,Independent,Special,0
Queensland,Catholic,Combined,27
Queensland,Catholic,Primary,197
Queensland,Catholic,Secondary,62
Queensland,Catholic,Special,8
Queensland,Government,Combined,92
Queensland,Government,Primary,921
Queensland,Government,Secondary,180
Queensland,Government,Special,46
Queensland,Independent,Combined,127
Queensland,Independent,Primary,35
Queensland,Independent,Secondary,11
Queensland,Independent,Special,9
South Australia,Catholic,Combined,22
South Australia,Catholic,Primary,68
South Australia,Catholic,Secondary,11
South Australia,Catholic,Special,2
South Australia,Government,Combined,76
South Australia,Government,Primary,393
South Australia,Government,Secondary,68
South Australia,Government,Special,18
South Australia,Independent,Combined,48
South Australia,Independent,Primary,35
South Australia,Independent,Secondary,8
South Australia,Independent,Special,1
Tasmania,Catholic,Combined,8
Tasmania,Catholic,Primary,24
Tasmania,Catholic,Secondary,5
Tasmania,Catholic,Special,0
Tasmania,Government,Combined,26
Tasmania,Government,Primary,128
Tasmania,Government,Secondary,38
Tasmania,Government,Special,5
Tasmania,Independent,Combined,23
Tasmania,Independent,Primary,4
Tasmania,Independent,Secondary,0
Tasmania,Independent,Special,1
Victoria,Catholic,Combined,15
Victoria,Catholic,Primary,381
Victoria,Catholic,Secondary,85
Victoria,Catholic,Special,6
Victoria,Government,Combined,79
Victoria,Government,Primary,1136
Victoria,Government,Secondary,244
Victoria,Government,Special,76
Victoria,Independent,Combined,141
Victoria,Independent,Primary,44
Victoria,Independent,Secondary,13
Victoria,Independent,Special,13
Western Australia,Catholic,Combined,42
Western Australia,Catholic,Primary,111
Western Australia,Catholic,Secondary,4
Western Australia,Catholic,Special,3
Western Australia,Government,Combined,90
Western Australia,Government,Primary,513
Western Australia,Government,Secondary,96
Western Australia,Government,Special,66
Western Australia,Independent,Combined,90
Western Australia,Independent,Primary,38
Western Australia,Independent,Secondary,5
Western Australia,Independent,Special,8
