State/territory,School sector,School level,Schools
Australian Capital Territory,Catholic,Combined,2
Australian Capital Territory,Catholic,Primary,23
Australian Capital Territory,Catholic,Secondary,5
Australian Capital Territory,Catholic,Special,0
Australian Capital Territory,Government,Combined,7
Australian Capital Territory,Government,Primary,55
Australian Capital Territory,Government,Secondary,17
Australian Capital Territory,Government,Special,4
Australian Capital Territory,Independent,Combined,10
Australian Capital Territory,Independent,Primary,3
Australian Capital Territory,Independent,Secondary,0
Australian Capital Territory,Independent,Special,1
New South Wales,Catholic,Combined,32
New South Wales,Catholic,Primary,417
New South Wales,Catholic,Secondary,130
New South Wales,Catholic,Special,7
New South Wales,Government,Combined,66
New South Wales,Government,Primary,1634
New South Wales,Government,Secondary,370
New South Wales,Government,Special,111
New South Wales,Independent,Combined,196
New South Wales,Independent,Primary,82
New South Wales,Independent,Secondary,25
New South Wales,Independent,Special,27
Northern Territory,Catholic,Combined,5
Northern Territory,Catholic,Primary,7
Northern Territory,Catholic,Secondary,3
Northern Territory,Catholic,Special,0
Northern Territory,Government,Combined,70
Northern Territory,Government,Primary,62
Northern Territory,Government,Secondary,15
Northern Territory,Government,Special,5
Northern Territory,Independent,Combined,10
Northern Territory,Independent,Primary,4
Northern Territory,Independent,Secondary,7
Northern Territory,Independent,Special,0
Queensland,Catholic,Combined,26
Queensland,Catholic,Primary,196
Queensland,Catholic,Secondary,61
Queensland,Catholic,Special,6
Queensland,Government,Combined,91
Queensland,Government,Primary,929
Queensland,Government,Secondary,178
Queensland,Government,Special,47
Queensland,Independent,Combined,123
Queensland,Independent,Primary,36
Queensland,Independent,Secondary,11
Queensland,Independent,Special,6
South Australia,Catholic,Combined,22
South Australia,Catholic,Primary,68
South Australia,Catholic,Secondary,10
South Australia,Catholic,Special,2
South Australia,Government,Combined,75
South Australia,Government,Primary,421
South Australia,Government,Secondary,72
South Australia,Government,Special,20
South Australia,Independent,Combined,46
South Australia,Independent,Primary,38
South Australia,Independent,Secondary,12
South Australia,Independent,Special,1
Tasmania,Catholic,Combined,8
Tasmania,Catholic,Primary,24
Tasmania,Catholic,Secondary,5
Tasmania,Catholic,Special,0
Tasmania,Government,Combined,26
Tasmania,Government,Primary,139
Tasmania,Government,Secondary,37
Tasmania,Government,Special,5
Tasmania,Independent,Combined,22
Tasmania,Independent,Primary,5
Tasmania,Independent,Secondary,2
Tasmania,Independent,Special,1
Victoria,Catholic,Combined,14
Victoria,Catholic,Primary,379
Victoria,Catholic,Secondary,86
Victoria,Catholic,Special,9
Victoria,Government,Combined,67
Victoria,Government,Primary,1180
Victoria,Government,Secondary,252
Victoria,Government,Special,76
Victoria,Independent,Combined,136
Victoria,Independent,Primary,48
Victoria,Independent,Secondary,19
Victoria,Independent,Special,13
Western Australia,Catholic,Combined,30
Western Australia,Catholic,Primary,111
Western Australia,Catholic,Secondary,15
Western Australia,Catholic,Special,2
Western Australia,Government,Combined,95
Western Australia,Government,Primary,510
Western Australia,Government,Secondary,99
Western Australia,Government,Special,67
Western Australia,Independent,Combined,82
Western Australia,Independent,Primary,43
Western Australia,Independent,Secondary,8
Western Australia,Independent,Special,5
