Full-time/part-time status,State/territory,School sector,Sex,School level,Indigenous status,Students
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Indigenous,72
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4443.8
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,81
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,4180
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Indigenous,94
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4698
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,68
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4357
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Indigenous,354
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,9969.9
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,271.6
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7657.2
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Indigenous,419.4
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,10656.8
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Indigenous,252
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,7715.6
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Indigenous,19
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,2138.1
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Indigenous,25
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2398
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Indigenous,16
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,2194
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Indigenous,16.6
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2443.7
Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,1979
Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,62124
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Indigenous,1494.6
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Non-Indigenous,60236.6
Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,1944
Full-time equivalent,New South Wales,Catholic,Male,Primary,Non-Indigenous,63492.9
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Indigenous,1468.9
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Non-Indigenous,61241.9
Full-time equivalent,New South Wales,Government,Female,Primary,Indigenous,15147
Full-time equivalent,New South Wales,Government,Female,Primary,Non-Indigenous,206783
Full-time equivalent,New South Wales,Government,Female,Secondary,Indigenous,10008.8
Full-time equivalent,New South Wales,Government,Female,Secondary,Non-Indigenous,139901.8
Full-time equivalent,New South Wales,Government,Male,Primary,Indigenous,15966
Full-time equivalent,New South Wales,Government,Male,Primary,Non-Indigenous,220234
Full-time equivalent,New South Wales,Government,Male,Secondary,Indigenous,10490.8
Full-time equivalent,New South Wales,Government,Male,Secondary,Non-Indigenous,145166.3
Full-time equivalent,New South Wales,Independent,Female,Primary,Indigenous,520
Full-time equivalent,New South Wales,Independent,Female,Primary,Non-Indigenous,33840
Full-time equivalent,New South Wales,Independent,Female,Secondary,Indigenous,758
Full-time equivalent,New South Wales,Independent,Female,Secondary,Non-Indigenous,38338.1
Full-time equivalent,New South Wales,Independent,Male,Primary,Indigenous,558
Full-time equivalent,New South Wales,Independent,Male,Primary,Non-Indigenous,36230.8
Full-time equivalent,New South Wales,Independent,Male,Secondary,Indigenous,628.7
Full-time equivalent,New South Wales,Independent,Male,Secondary,Non-Indigenous,39767.6
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Indigenous,536
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Non-Indigenous,852
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Indigenous,426
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Non-Indigenous,680.2
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Indigenous,567
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Non-Indigenous,903
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Indigenous,380
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Non-Indigenous,710
Full-time equivalent,Northern Territory,Government,Female,Primary,Indigenous,4344
Full-time equivalent,Northern Territory,Government,Female,Primary,Non-Indigenous,4930.2
Full-time equivalent,Northern Territory,Government,Female,Secondary,Indigenous,2116.3
Full-time equivalent,Northern Territory,Government,Female,Secondary,Non-Indigenous,2962.6
Full-time equivalent,Northern Territory,Government,Male,Primary,Indigenous,4531.8
Full-time equivalent,Northern Territory,Government,Male,Primary,Non-Indigenous,5133.3
Full-time equivalent,Northern Territory,Government,Male,Secondary,Indigenous,2319.2
Full-time equivalent,Northern Territory,Government,Male,Secondary,Non-Indigenous,3156.7
Full-time equivalent,Northern Territory,Independent,Female,Primary,Indigenous,152
Full-time equivalent,Northern Territory,Independent,Female,Primary,Non-Indigenous,1189
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Indigenous,451
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Non-Indigenous,1327
Full-time equivalent,Northern Territory,Independent,Male,Primary,Indigenous,178
Full-time equivalent,Northern Territory,Independent,Male,Primary,Non-Indigenous,1152
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Indigenous,493
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Non-Indigenous,1258.9
Full-time equivalent,Queensland,Catholic,Female,Primary,Indigenous,1442
Full-time equivalent,Queensland,Catholic,Female,Primary,Non-Indigenous,40059.6
Full-time equivalent,Queensland,Catholic,Female,Secondary,Indigenous,1339.2
Full-time equivalent,Queensland,Catholic,Female,Secondary,Non-Indigenous,27420.2
Full-time equivalent,Queensland,Catholic,Male,Primary,Indigenous,1435
Full-time equivalent,Queensland,Catholic,Male,Primary,Non-Indigenous,41516.9
Full-time equivalent,Queensland,Catholic,Male,Secondary,Indigenous,1379
Full-time equivalent,Queensland,Catholic,Male,Secondary,Non-Indigenous,28358.2
Full-time equivalent,Queensland,Government,Female,Primary,Indigenous,15900.8
Full-time equivalent,Queensland,Government,Female,Primary,Non-Indigenous,146708.1
Full-time equivalent,Queensland,Government,Female,Secondary,Indigenous,7480.2
Full-time equivalent,Queensland,Government,Female,Secondary,Non-Indigenous,80071.8
Full-time equivalent,Queensland,Government,Male,Primary,Indigenous,16930.1
Full-time equivalent,Queensland,Government,Male,Primary,Non-Indigenous,159668.3
Full-time equivalent,Queensland,Government,Male,Secondary,Indigenous,7441
Full-time equivalent,Queensland,Government,Male,Secondary,Non-Indigenous,83879.2
Full-time equivalent,Queensland,Independent,Female,Primary,Indigenous,856
Full-time equivalent,Queensland,Independent,Female,Primary,Non-Indigenous,28597.8
Full-time equivalent,Queensland,Independent,Female,Secondary,Indigenous,1020
Full-time equivalent,Queensland,Independent,Female,Secondary,Non-Indigenous,26930.6
Full-time equivalent,Queensland,Independent,Male,Primary,Indigenous,790
Full-time equivalent,Queensland,Independent,Male,Primary,Non-Indigenous,29352.8
Full-time equivalent,Queensland,Independent,Male,Secondary,Indigenous,851
Full-time equivalent,Queensland,Independent,Male,Secondary,Non-Indigenous,26606.1
Full-time equivalent,South Australia,Catholic,Female,Primary,Indigenous,178
Full-time equivalent,South Australia,Catholic,Female,Primary,Non-Indigenous,13627
Full-time equivalent,South Australia,Catholic,Female,Secondary,Indigenous,129.4
Full-time equivalent,South Australia,Catholic,Female,Secondary,Non-Indigenous,10262.5
Full-time equivalent,South Australia,Catholic,Male,Primary,Indigenous,198
Full-time equivalent,South Australia,Catholic,Male,Primary,Non-Indigenous,14172.3
Full-time equivalent,South Australia,Catholic,Male,Secondary,Indigenous,136
Full-time equivalent,South Australia,Catholic,Male,Secondary,Non-Indigenous,9778.9
Full-time equivalent,South Australia,Government,Female,Primary,Indigenous,2962
Full-time equivalent,South Australia,Government,Female,Primary,Non-Indigenous,47680.2
Full-time equivalent,South Australia,Government,Female,Secondary,Indigenous,1780.1
Full-time equivalent,South Australia,Government,Female,Secondary,Non-Indigenous,28081.5
Full-time equivalent,South Australia,Government,Male,Primary,Indigenous,3332
Full-time equivalent,South Australia,Government,Male,Primary,Non-Indigenous,51213.3
Full-time equivalent,South Australia,Government,Male,Secondary,Indigenous,1664
Full-time equivalent,South Australia,Government,Male,Secondary,Non-Indigenous,29478.1
Full-time equivalent,South Australia,Independent,Female,Primary,Indigenous,190
Full-time equivalent,South Australia,Independent,Female,Primary,Non-Indigenous,12986
Full-time equivalent,South Australia,Independent,Female,Secondary,Indigenous,144.7
Full-time equivalent,South Australia,Independent,Female,Secondary,Non-Indigenous,9953.7
Full-time equivalent,South Australia,Independent,Male,Primary,Indigenous,160
Full-time equivalent,South Australia,Independent,Male,Primary,Non-Indigenous,12803.8
Full-time equivalent,South Australia,Independent,Male,Secondary,Indigenous,125
Full-time equivalent,South Australia,Independent,Male,Secondary,Non-Indigenous,9986.4
Full-time equivalent,Tasmania,Catholic,Female,Primary,Indigenous,240
Full-time equivalent,Tasmania,Catholic,Female,Primary,Non-Indigenous,3648
Full-time equivalent,Tasmania,Catholic,Female,Secondary,Indigenous,154
Full-time equivalent,Tasmania,Catholic,Female,Secondary,Non-Indigenous,3505
Full-time equivalent,Tasmania,Catholic,Male,Primary,Indigenous,253
Full-time equivalent,Tasmania,Catholic,Male,Primary,Non-Indigenous,3534
Full-time equivalent,Tasmania,Catholic,Male,Secondary,Indigenous,171
Full-time equivalent,Tasmania,Catholic,Male,Secondary,Non-Indigenous,3323.4
Full-time equivalent,Tasmania,Government,Female,Primary,Indigenous,1454
Full-time equivalent,Tasmania,Government,Female,Primary,Non-Indigenous,14119.6
Full-time equivalent,Tasmania,Government,Female,Secondary,Indigenous,1113.7
Full-time equivalent,Tasmania,Government,Female,Secondary,Non-Indigenous,10762.4
Full-time equivalent,Tasmania,Government,Male,Primary,Indigenous,1520
Full-time equivalent,Tasmania,Government,Male,Primary,Non-Indigenous,15255.6
Full-time equivalent,Tasmania,Government,Male,Secondary,Indigenous,1131.8
Full-time equivalent,Tasmania,Government,Male,Secondary,Non-Indigenous,11277
Full-time equivalent,Tasmania,Independent,Female,Primary,Indigenous,97
Full-time equivalent,Tasmania,Independent,Female,Primary,Non-Indigenous,1995.9
Full-time equivalent,Tasmania,Independent,Female,Secondary,Indigenous,72
Full-time equivalent,Tasmania,Independent,Female,Secondary,Non-Indigenous,2404.3
Full-time equivalent,Tasmania,Independent,Male,Primary,Indigenous,79
Full-time equivalent,Tasmania,Independent,Male,Primary,Non-Indigenous,2048.1
Full-time equivalent,Tasmania,Independent,Male,Secondary,Indigenous,71.1
Full-time equivalent,Tasmania,Independent,Male,Secondary,Non-Indigenous,2470.8
Full-time equivalent,Victoria,Catholic,Female,Primary,Indigenous,379.2
Full-time equivalent,Victoria,Catholic,Female,Primary,Non-Indigenous,54134.3
Full-time equivalent,Victoria,Catholic,Female,Secondary,Indigenous,309
Full-time equivalent,Victoria,Catholic,Female,Secondary,Non-Indigenous,47896.7
Full-time equivalent,Victoria,Catholic,Male,Primary,Indigenous,333.4
Full-time equivalent,Victoria,Catholic,Male,Primary,Non-Indigenous,55436.5
Full-time equivalent,Victoria,Catholic,Male,Secondary,Indigenous,313
Full-time equivalent,Victoria,Catholic,Male,Secondary,Non-Indigenous,46045.5
Full-time equivalent,Victoria,Government,Female,Primary,Indigenous,3338
Full-time equivalent,Victoria,Government,Female,Primary,Non-Indigenous,159950.3
Full-time equivalent,Victoria,Government,Female,Secondary,Indigenous,2197.6
Full-time equivalent,Victoria,Government,Female,Secondary,Non-Indigenous,105946
Full-time equivalent,Victoria,Government,Male,Primary,Indigenous,3465
Full-time equivalent,Victoria,Government,Male,Primary,Non-Indigenous,172783.4
Full-time equivalent,Victoria,Government,Male,Secondary,Indigenous,2098.6
Full-time equivalent,Victoria,Government,Male,Secondary,Non-Indigenous,115084.5
Full-time equivalent,Victoria,Independent,Female,Primary,Indigenous,83
Full-time equivalent,Victoria,Independent,Female,Primary,Non-Indigenous,26759.5
Full-time equivalent,Victoria,Independent,Female,Secondary,Indigenous,254.7
Full-time equivalent,Victoria,Independent,Female,Secondary,Non-Indigenous,38298.3
Full-time equivalent,Victoria,Independent,Male,Primary,Indigenous,82
Full-time equivalent,Victoria,Independent,Male,Primary,Non-Indigenous,26218
Full-time equivalent,Victoria,Independent,Male,Secondary,Indigenous,151
Full-time equivalent,Victoria,Independent,Male,Secondary,Non-Indigenous,36990.5
Full-time equivalent,Western Australia,Catholic,Female,Primary,Indigenous,850
Full-time equivalent,Western Australia,Catholic,Female,Primary,Non-Indigenous,20034.2
Full-time equivalent,Western Australia,Catholic,Female,Secondary,Indigenous,478
Full-time equivalent,Western Australia,Catholic,Female,Secondary,Non-Indigenous,13372
Full-time equivalent,Western Australia,Catholic,Male,Primary,Indigenous,754
Full-time equivalent,Western Australia,Catholic,Male,Primary,Non-Indigenous,20219.7
