Full-time/part-time status,State/territory,School sector,Sex,School level,Indigenous status,Students
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Indigenous,98
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4319.4
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,89
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,3974
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Indigenous,127
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4753
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,83
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4349
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Indigenous,429
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,12053
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,347
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,8120.1
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Indigenous,562.8
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,12804.3
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Indigenous,314
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,8561.4
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Indigenous,28
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,2487
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Indigenous,31
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2600.3
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Indigenous,22
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,2377
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Indigenous,24
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2370.8
Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,2301
Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,62292
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Indigenous,1800.4
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Non-Indigenous,60499.8
Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,2173
Full-time equivalent,New South Wales,Catholic,Male,Primary,Non-Indigenous,63372.4
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Indigenous,1848
