Full-time/part-time status,State/territory,School sector,Sex,School level,Indigenous status,Students
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Indigenous,57
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4080
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,65
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,4273.3
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Indigenous,52
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4426
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,62
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4233
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Indigenous,322
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,9018.4
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,226
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7399.4
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Indigenous,334
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,9485.1
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Indigenous,222
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,7609.1
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Indigenous,11
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,2136.3
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Indigenous,10
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2400
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Indigenous,17
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,2089.7
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Indigenous,10
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2336
Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,1604
Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,60243.8
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Indigenous,1127.6
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Non-Indigenous,58246
Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,1558
Full-time equivalent,New South Wales,Catholic,Male,Primary,Non-Indigenous,61975
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Indigenous,1122
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Non-Indigenous,58120.5
Full-time equivalent,New South Wales,Government,Female,Primary,Indigenous,12846
Full-time equivalent,New South Wales,Government,Female,Primary,Non-Indigenous,197784
Full-time equivalent,New South Wales,Government,Female,Secondary,Indigenous,9004.2
Full-time equivalent,New South Wales,Government,Female,Secondary,Non-Indigenous,143401.5
Full-time equivalent,New South Wales,Government,Male,Primary,Indigenous,13756
Full-time equivalent,New South Wales,Government,Male,Primary,Non-Indigenous,211363
Full-time equivalent,New South Wales,Government,Male,Secondary,Indigenous,9577.8
