Full-time/part-time status,State/territory,School sector,Sex,School level,Indigenous status,Students
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Indigenous,81
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4443
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,87
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,4166.5
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Indigenous,91
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4738
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,78
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4379
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Indigenous,377.2
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,10509.9
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,287
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7842.6
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Indigenous,454.5
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,11140.6
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Indigenous,273
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,7821.2
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Indigenous,18
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,2184.4
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Indigenous,24
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2374
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Indigenous,17
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,2237.1
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Indigenous,24
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2396.5
Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,2040.6
Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,62441
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Indigenous,1577
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Non-Indigenous,60523.3
Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,1962
Full-time equivalent,New South Wales,Catholic,Male,Primary,Non-Indigenous,63947.1
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Indigenous,1634.8
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Non-Indigenous,61499.3
Full-time equivalent,New South Wales,Government,Female,Primary,Indigenous,16069
Full-time equivalent,New South Wales,Government,Female,Primary,Non-Indigenous,210568
Full-time equivalent,New South Wales,Government,Female,Secondary,Indigenous,10325
Full-time equivalent,New South Wales,Government,Female,Secondary,Non-Indigenous,138812.7
Full-time equivalent,New South Wales,Government,Male,Primary,Indigenous,16939
Full-time equivalent,New South Wales,Government,Male,Primary,Non-Indigenous,224239
Full-time equivalent,New South Wales,Government,Male,Secondary,Indigenous,10817.4
Full-time equivalent,New South Wales,Government,Male,Secondary,Non-Indigenous,144208
Full-time equivalent,New South Wales,Independent,Female,Primary,Indigenous,603
Full-time equivalent,New South Wales,Independent,Female,Primary,Non-Indigenous,34507
Full-time equivalent,New South Wales,Independent,Female,Secondary,Indigenous,794.6
Full-time equivalent,New South Wales,Independent,Female,Secondary,Non-Indigenous,39325.8
Full-time equivalent,New South Wales,Independent,Male,Primary,Indigenous,604
Full-time equivalent,New South Wales,Independent,Male,Primary,Non-Indigenous,36813.1
Full-time equivalent,New South Wales,Independent,Male,Secondary,Indigenous,687
Full-time equivalent,New South Wales,Independent,Male,Secondary,Non-Indigenous,40667.6
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Indigenous,500
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Non-Indigenous,824
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Indigenous,455
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Non-Indigenous,713
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Indigenous,523
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Non-Indigenous,925
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Indigenous,410
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Non-Indigenous,784
Full-time equivalent,Northern Territory,Government,Female,Primary,Indigenous,4253.9
Full-time equivalent,Northern Territory,Government,Female,Primary,Non-Indigenous,4866.5
Full-time equivalent,Northern Territory,Government,Female,Secondary,Indigenous,2081.2
Full-time equivalent,Northern Territory,Government,Female,Secondary,Non-Indigenous,2857.2
Full-time equivalent,Northern Territory,Government,Male,Primary,Indigenous,4450.7
Full-time equivalent,Northern Territory,Government,Male,Primary,Non-Indigenous,5086.9
Full-time equivalent,Northern Territory,Government,Male,Secondary,Indigenous,2240.2
Full-time equivalent,Northern Territory,Government,Male,Secondary,Non-Indigenous,3045.2
Full-time equivalent,Northern Territory,Independent,Female,Primary,Indigenous,205
Full-time equivalent,Northern Territory,Independent,Female,Primary,Non-Indigenous,1241
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Indigenous,526
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Non-Indigenous,1323
Full-time equivalent,Northern Territory,Independent,Male,Primary,Indigenous,218
Full-time equivalent,Northern Territory,Independent,Male,Primary,Non-Indigenous,1197
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Indigenous,537
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Non-Indigenous,1290
Full-time equivalent,Queensland,Catholic,Female,Primary,Indigenous,1416
Full-time equivalent,Queensland,Catholic,Female,Primary,Non-Indigenous,37460.6
Full-time equivalent,Queensland,Catholic,Female,Secondary,Indigenous,1501.8
Full-time equivalent,Queensland,Catholic,Female,Secondary,Non-Indigenous,31189.9
Full-time equivalent,Queensland,Catholic,Male,Primary,Indigenous,1332
Full-time equivalent,Queensland,Catholic,Male,Primary,Non-Indigenous,37965.5
Full-time equivalent,Queensland,Catholic,Male,Secondary,Indigenous,1654.2
Full-time equivalent,Queensland,Catholic,Male,Secondary,Non-Indigenous,32940.3
Full-time equivalent,Queensland,Government,Female,Primary,Indigenous,15400.8
