Full-time/part-time status,State/territory,School sector,Sex,School level,Indigenous status,Students
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Indigenous,92
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4305
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,90
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,4061
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Indigenous,104
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4750
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,74
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4359
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Indigenous,402
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,11018.5
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,306.9
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7889
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Indigenous,499.7
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,11760.5
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Indigenous,311
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,8067.6
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Indigenous,17
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,2297.5
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Indigenous,20
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2452
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Indigenous,21
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,2268.7
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Indigenous,22
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2415
Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,2167
Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,62659
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Indigenous,1677
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Non-Indigenous,60558.8
Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,2103.9
Full-time equivalent,New South Wales,Catholic,Male,Primary,Non-Indigenous,63531.8
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Indigenous,1686
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Non-Indigenous,61619.4
Full-time equivalent,New South Wales,Government,Female,Primary,Indigenous,16874
Full-time equivalent,New South Wales,Government,Female,Primary,Non-Indigenous,214276
Full-time equivalent,New South Wales,Government,Female,Secondary,Indigenous,10743.2
Full-time equivalent,New South Wales,Government,Female,Secondary,Non-Indigenous,138158.7
Full-time equivalent,New South Wales,Government,Male,Primary,Indigenous,17710
Full-time equivalent,New South Wales,Government,Male,Primary,Non-Indigenous,228238
Full-time equivalent,New South Wales,Government,Male,Secondary,Indigenous,11253.3
Full-time equivalent,New South Wales,Government,Male,Secondary,Non-Indigenous,143346.7
Full-time equivalent,New South Wales,Independent,Female,Primary,Indigenous,654
Full-time equivalent,New South Wales,Independent,Female,Primary,Non-Indigenous,35274
Full-time equivalent,New South Wales,Independent,Female,Secondary,Indigenous,893.2
Full-time equivalent,New South Wales,Independent,Female,Secondary,Non-Indigenous,40210.6
Full-time equivalent,New South Wales,Independent,Male,Primary,Indigenous,632
Full-time equivalent,New South Wales,Independent,Male,Primary,Non-Indigenous,37489.6
Full-time equivalent,New South Wales,Independent,Male,Secondary,Indigenous,775.4
Full-time equivalent,New South Wales,Independent,Male,Secondary,Non-Indigenous,41656
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Indigenous,498
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Non-Indigenous,791
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Indigenous,455.6
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Non-Indigenous,746
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Indigenous,527
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Non-Indigenous,935
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Indigenous,444
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Non-Indigenous,789.2
Full-time equivalent,Northern Territory,Government,Female,Primary,Indigenous,4326.5
Full-time equivalent,Northern Territory,Government,Female,Primary,Non-Indigenous,5034.8
