Full-time/part-time status,State/territory,School sector,Sex,School level,Indigenous status,Students
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Indigenous,60
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4198
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,61
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,4205.4
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Indigenous,54
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4475
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,53
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4280
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Indigenous,322
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,8855.4
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,206
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7476.3
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Indigenous,330
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,9412.8
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Indigenous,222
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,7667.6
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Indigenous,10
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,1933.5
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Indigenous,11
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2329
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Indigenous,11
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,1910.4
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Indigenous,13
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2270.1
Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,1471
Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,59709.2
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Indigenous,998
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Non-Indigenous,57499.2
Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,1444
Full-time equivalent,New South Wales,Catholic,Male,Primary,Non-Indigenous,61592.5
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Indigenous,1016
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Non-Indigenous,57262.2
Full-time equivalent,New South Wales,Government,Female,Primary,Indigenous,12379
Full-time equivalent,New South Wales,Government,Female,Primary,Non-Indigenous,196643
Full-time equivalent,New South Wales,Government,Female,Secondary,Indigenous,8485.4
Full-time equivalent,New South Wales,Government,Female,Secondary,Non-Indigenous,144290.9
Full-time equivalent,New South Wales,Government,Male,Primary,Indigenous,13234
Full-time equivalent,New South Wales,Government,Male,Primary,Non-Indigenous,209804
Full-time equivalent,New South Wales,Government,Male,Secondary,Indigenous,8749.2
Full-time equivalent,New South Wales,Government,Male,Secondary,Non-Indigenous,148555.7
Full-time equivalent,New South Wales,Independent,Female,Primary,Indigenous,358
Full-time equivalent,New South Wales,Independent,Female,Primary,Non-Indigenous,31265.4
Full-time equivalent,New South Wales,Independent,Female,Secondary,Indigenous,539.2
Full-time equivalent,New South Wales,Independent,Female,Secondary,Non-Indigenous,35243.4
Full-time equivalent,New South Wales,Independent,Male,Primary,Indigenous,341
Full-time equivalent,New South Wales,Independent,Male,Primary,Non-Indigenous,33069.6
Full-time equivalent,New South Wales,Independent,Male,Secondary,Indigenous,372.6
Full-time equivalent,New South Wales,Independent,Male,Secondary,Non-Indigenous,36107.2
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Indigenous,488
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Non-Indigenous,930
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Indigenous,319
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Non-Indigenous,634
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Indigenous,470
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Non-Indigenous,901
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Indigenous,331
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Non-Indigenous,672
Full-time equivalent,Northern Territory,Government,Female,Primary,Indigenous,4316.9
Full-time equivalent,Northern Territory,Government,Female,Primary,Non-Indigenous,4625
Full-time equivalent,Northern Territory,Government,Female,Secondary,Indigenous,1996.2
Full-time equivalent,Northern Territory,Government,Female,Secondary,Non-Indigenous,3074.9
Full-time equivalent,Northern Territory,Government,Male,Primary,Indigenous,4561
Full-time equivalent,Northern Territory,Government,Male,Primary,Non-Indigenous,4977
Full-time equivalent,Northern Territory,Government,Male,Secondary,Indigenous,2171.1
Full-time equivalent,Northern Territory,Government,Male,Secondary,Non-Indigenous,3380.2
Full-time equivalent,Northern Territory,Independent,Female,Primary,Indigenous,174
Full-time equivalent,Northern Territory,Independent,Female,Primary,Non-Indigenous,1018
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Indigenous,477.6
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Non-Indigenous,1122
Full-time equivalent,Northern Territory,Independent,Male,Primary,Indigenous,187
Full-time equivalent,Northern Territory,Independent,Male,Primary,Non-Indigenous,970
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Indigenous,496.5
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Non-Indigenous,1060
Full-time equivalent,Queensland,Catholic,Female,Primary,Indigenous,1081
Full-time equivalent,Queensland,Catholic,Female,Primary,Non-Indigenous,36600.6
Full-time equivalent,Queensland,Catholic,Female,Secondary,Indigenous,929.7
