Full-time/part-time status,State/territory,School sector,Sex,School level,Indigenous status,Students
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Indigenous,88
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4308
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,95
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,3979
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Indigenous,118
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4739.9
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,81
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4366
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Indigenous,410.3
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,11568.5
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,326
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7988.3
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Indigenous,517
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,12335.8
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Indigenous,299.4
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,8369.2
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Indigenous,28
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,2388
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Indigenous,18
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2503.6
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Indigenous,19
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,2343
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Indigenous,25
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2399
Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,2199
Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,62589
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Indigenous,1763
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Non-Indigenous,60311.9
Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,2095
Full-time equivalent,New South Wales,Catholic,Male,Primary,Non-Indigenous,63785.7
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Indigenous,1834
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Non-Indigenous,61298.8
Full-time equivalent,New South Wales,Government,Female,Primary,Indigenous,17705
Full-time equivalent,New South Wales,Government,Female,Primary,Non-Indigenous,218208
Full-time equivalent,New South Wales,Government,Female,Secondary,Indigenous,11196.7
Full-time equivalent,New South Wales,Government,Female,Secondary,Non-Indigenous,137924.2
Full-time equivalent,New South Wales,Government,Male,Primary,Indigenous,18655
Full-time equivalent,New South Wales,Government,Male,Primary,Non-Indigenous,232162
Full-time equivalent,New South Wales,Government,Male,Secondary,Indigenous,11657.5
Full-time equivalent,New South Wales,Government,Male,Secondary,Non-Indigenous,143531.4
Full-time equivalent,New South Wales,Independent,Female,Primary,Indigenous,708
Full-time equivalent,New South Wales,Independent,Female,Primary,Non-Indigenous,36236.9
Full-time equivalent,New South Wales,Independent,Female,Secondary,Indigenous,923.8
Full-time equivalent,New South Wales,Independent,Female,Secondary,Non-Indigenous,41225.1
Full-time equivalent,New South Wales,Independent,Male,Primary,Indigenous,682
Full-time equivalent,New South Wales,Independent,Male,Primary,Non-Indigenous,38536.2
Full-time equivalent,New South Wales,Independent,Male,Secondary,Indigenous,797.7
Full-time equivalent,New South Wales,Independent,Male,Secondary,Non-Indigenous,42444.2
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Indigenous,473
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Non-Indigenous,758
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Indigenous,439
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Non-Indigenous,745.5
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Indigenous,502
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Non-Indigenous,827
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Indigenous,411
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Non-Indigenous,805
Full-time equivalent,Northern Territory,Government,Female,Primary,Indigenous,4374.3
Full-time equivalent,Northern Territory,Government,Female,Primary,Non-Indigenous,5222.4
Full-time equivalent,Northern Territory,Government,Female,Secondary,Indigenous,2164.2
Full-time equivalent,Northern Territory,Government,Female,Secondary,Non-Indigenous,3014.4
Full-time equivalent,Northern Territory,Government,Male,Primary,Indigenous,4518.2
Full-time equivalent,Northern Territory,Government,Male,Primary,Non-Indigenous,5526.6
Full-time equivalent,Northern Territory,Government,Male,Secondary,Indigenous,2414.5
Full-time equivalent,Northern Territory,Government,Male,Secondary,Non-Indigenous,3112.5
Full-time equivalent,Northern Territory,Independent,Female,Primary,Indigenous,194
Full-time equivalent,Northern Territory,Independent,Female,Primary,Non-Indigenous,1280
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Indigenous,478
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Non-Indigenous,1167
Full-time equivalent,Northern Territory,Independent,Male,Primary,Indigenous,215
Full-time equivalent,Northern Territory,Independent,Male,Primary,Non-Indigenous,1251
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Indigenous,489
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Non-Indigenous,1140.5
Full-time equivalent,Queensland,Catholic,Female,Primary,Indigenous,1557
Full-time equivalent,Queensland,Catholic,Female,Primary,Non-Indigenous,37623.2
Full-time equivalent,Queensland,Catholic,Female,Secondary,Indigenous,1621.2
Full-time equivalent,Queensland,Catholic,Female,Secondary,Non-Indigenous,31224.2
Full-time equivalent,Queensland,Catholic,Male,Primary,Indigenous,1469
Full-time equivalent,Queensland,Catholic,Male,Primary,Non-Indigenous,38324.7
Full-time equivalent,Queensland,Catholic,Male,Secondary,Indigenous,1716.8
Full-time equivalent,Queensland,Catholic,Male,Secondary,Non-Indigenous,33049.7
Full-time equivalent,Queensland,Government,Female,Primary,Indigenous,16913.2
Full-time equivalent,Queensland,Government,Female,Primary,Non-Indigenous,144853.3
Full-time equivalent,Queensland,Government,Female,Secondary,Indigenous,9407
Full-time equivalent,Queensland,Government,Female,Secondary,Non-Indigenous,92217.9
Full-time equivalent,Queensland,Government,Male,Primary,Indigenous,17763.3
Full-time equivalent,Queensland,Government,Male,Primary,Non-Indigenous,154751.7
Full-time equivalent,Queensland,Government,Male,Secondary,Indigenous,9704.2
Full-time equivalent,Queensland,Government,Male,Secondary,Non-Indigenous,97267.8
Full-time equivalent,Queensland,Independent,Female,Primary,Indigenous,843
Full-time equivalent,Queensland,Independent,Female,Primary,Non-Indigenous,25971.6
Full-time equivalent,Queensland,Independent,Female,Secondary,Indigenous,1266.8
Full-time equivalent,Queensland,Independent,Female,Secondary,Non-Indigenous,31034.5
Full-time equivalent,Queensland,Independent,Male,Primary,Indigenous,850
Full-time equivalent,Queensland,Independent,Male,Primary,Non-Indigenous,26345.7
Full-time equivalent,Queensland,Independent,Male,Secondary,Indigenous,1152.1
Full-time equivalent,Queensland,Independent,Male,Secondary,Non-Indigenous,31478.4
Full-time equivalent,South Australia,Catholic,Female,Primary,Indigenous,204
Full-time equivalent,South Australia,Catholic,Female,Primary,Non-Indigenous,12969
Full-time equivalent,South Australia,Catholic,Female,Secondary,Indigenous,130
Full-time equivalent,South Australia,Catholic,Female,Secondary,Non-Indigenous,9481
Full-time equivalent,South Australia,Catholic,Male,Primary,Indigenous,205
Full-time equivalent,South Australia,Catholic,Male,Primary,Non-Indigenous,13461.8
Full-time equivalent,South Australia,Catholic,Male,Secondary,Indigenous,136
Full-time equivalent,South Australia,Catholic,Male,Secondary,Non-Indigenous,9182.3
Full-time equivalent,South Australia,Government,Female,Primary,Indigenous,3447.6
Full-time equivalent,South Australia,Government,Female,Primary,Non-Indigenous,50257.3
Full-time equivalent,South Australia,Government,Female,Secondary,Indigenous,1907.2
Full-time equivalent,South Australia,Government,Female,Secondary,Non-Indigenous,28083.1
Full-time equivalent,South Australia,Government,Male,Primary,Indigenous,3740
Full-time equivalent,South Australia,Government,Male,Primary,Non-Indigenous,53748.2
Full-time equivalent,South Australia,Government,Male,Secondary,Indigenous,1949.9
Full-time equivalent,South Australia,Government,Male,Secondary,Non-Indigenous,29401
Full-time equivalent,South Australia,Independent,Female,Primary,Indigenous,244
Full-time equivalent,South Australia,Independent,Female,Primary,Non-Indigenous,13137.6
Full-time equivalent,South Australia,Independent,Female,Secondary,Indigenous,178
Full-time equivalent,South Australia,Independent,Female,Secondary,Non-Indigenous,10043.8
Full-time equivalent,South Australia,Independent,Male,Primary,Indigenous,197.7
Full-time equivalent,South Australia,Independent,Male,Primary,Non-Indigenous,13277.7
Full-time equivalent,South Australia,Independent,Male,Secondary,Indigenous,122
Full-time equivalent,South Australia,Independent,Male,Secondary,Non-Indigenous,10124.3
Full-time equivalent,Tasmania,Catholic,Female,Primary,Indigenous,277
Full-time equivalent,Tasmania,Catholic,Female,Primary,Non-Indigenous,3661.7
Full-time equivalent,Tasmania,Catholic,Female,Secondary,Indigenous,201
Full-time equivalent,Tasmania,Catholic,Female,Secondary,Non-Indigenous,3539.8
Full-time equivalent,Tasmania,Catholic,Male,Primary,Indigenous,292
Full-time equivalent,Tasmania,Catholic,Male,Primary,Non-Indigenous,3548.2
Full-time equivalent,Tasmania,Catholic,Male,Secondary,Indigenous,201
Full-time equivalent,Tasmania,Catholic,Male,Secondary,Non-Indigenous,3310
Full-time equivalent,Tasmania,Government,Female,Primary,Indigenous,1692
Full-time equivalent,Tasmania,Government,Female,Primary,Non-Indigenous,14480
Full-time equivalent,Tasmania,Government,Female,Secondary,Indigenous,1082.7
Full-time equivalent,Tasmania,Government,Female,Secondary,Non-Indigenous,10028.1
Full-time equivalent,Tasmania,Government,Male,Primary,Indigenous,1727
Full-time equivalent,Tasmania,Government,Male,Primary,Non-Indigenous,15654.5
Full-time equivalent,Tasmania,Government,Male,Secondary,Indigenous,1164.4
Full-time equivalent,Tasmania,Government,Male,Secondary,Non-Indigenous,10677.6
Full-time equivalent,Tasmania,Independent,Female,Primary,Indigenous,105
Full-time equivalent,Tasmania,Independent,Female,Primary,Non-Indigenous,1969.8
Full-time equivalent,Tasmania,Independent,Female,Secondary,Indigenous,87
Full-time equivalent,Tasmania,Independent,Female,Secondary,Non-Indigenous,2348
Full-time equivalent,Tasmania,Independent,Male,Primary,Indigenous,105
Full-time equivalent,Tasmania,Independent,Male,Primary,Non-Indigenous,2136.1
Full-time equivalent,Tasmania,Independent,Male,Secondary,Indigenous,73
Full-time equivalent,Tasmania,Independent,Male,Secondary,Non-Indigenous,2447.8
Full-time equivalent,Victoria,Catholic,Female,Primary,Indigenous,462
Full-time equivalent,Victoria,Catholic,Female,Primary,Non-Indigenous,55062.5
Full-time equivalent,Victoria,Catholic,Female,Secondary,Indigenous,377
Full-time equivalent,Victoria,Catholic,Female,Secondary,Non-Indigenous,48338.5
Full-time equivalent,Victoria,Catholic,Male,Primary,Indigenous,421
Full-time equivalent,Victoria,Catholic,Male,Primary,Non-Indigenous,56610.3
Full-time equivalent,Victoria,Catholic,Male,Secondary,Indigenous,391
Full-time equivalent,Victoria,Catholic,Male,Secondary,Non-Indigenous,46954.8
Full-time equivalent,Victoria,Government,Female,Primary,Indigenous,3878
Full-time equivalent,Victoria,Government,Female,Primary,Non-Indigenous,174179.3
Full-time equivalent,Victoria,Government,Female,Secondary,Indigenous,2449.4
Full-time equivalent,Victoria,Government,Female,Secondary,Non-Indigenous,110653.1
Full-time equivalent,Victoria,Government,Male,Primary,Indigenous,4008.7
Full-time equivalent,Victoria,Government,Male,Primary,Non-Indigenous,188603.3
Full-time equivalent,Victoria,Government,Male,Secondary,Indigenous,2455.1
Full-time equivalent,Victoria,Government,Male,Secondary,Non-Indigenous,118844.5
Full-time equivalent,Victoria,Independent,Female,Primary,Indigenous,95
Full-time equivalent,Victoria,Independent,Female,Primary,Non-Indigenous,29486.6
Full-time equivalent,Victoria,Independent,Female,Secondary,Indigenous,360.6
Full-time equivalent,Victoria,Independent,Female,Secondary,Non-Indigenous,41015.5
Full-time equivalent,Victoria,Independent,Male,Primary,Indigenous,100
Full-time equivalent,Victoria,Independent,Male,Primary,Non-Indigenous,28455.1
Full-time equivalent,Victoria,Independent,Male,Secondary,Indigenous,233
Full-time equivalent,Victoria,Independent,Male,Secondary,Non-Indigenous,39628.5
Full-time equivalent,Western Australia,Catholic,Female,Primary,Indigenous,695
Full-time equivalent,Western Australia,Catholic,Female,Primary,Non-Indigenous,17786
Full-time equivalent,Western Australia,Catholic,Female,Secondary,Indigenous,681
Full-time equivalent,Western Australia,Catholic,Female,Secondary,Non-Indigenous,16787.2
Full-time equivalent,Western Australia,Catholic,Male,Primary,Indigenous,690
Full-time equivalent,Western Australia,Catholic,Male,Primary,Non-Indigenous,17892.5
Full-time equivalent,Western Australia,Catholic,Male,Secondary,Indigenous,575
Full-time equivalent,Western Australia,Catholic,Male,Secondary,Non-Indigenous,16929
Full-time equivalent,Western Australia,Government,Female,Primary,Indigenous,7197
Full-time equivalent,Western Australia,Government,Female,Primary,Non-Indigenous,76217
Full-time equivalent,Western Australia,Government,Female,Secondary,Indigenous,3857.2
Full-time equivalent,Western Australia,Government,Female,Secondary,Non-Indigenous,45940.2
Full-time equivalent,Western Australia,Government,Male,Primary,Indigenous,7463
Full-time equivalent,Western Australia,Government,Male,Primary,Non-Indigenous,82087
Full-time equivalent,Western Australia,Government,Male,Secondary,Indigenous,3968.7
Full-time equivalent,Western Australia,Government,Male,Secondary,Non-Indigenous,49555.8
Full-time equivalent,Western Australia,Independent,Female,Primary,Indigenous,291
Full-time equivalent,Western Australia,Independent,Female,Primary,Non-Indigenous,13688.2
Full-time equivalent,Western Australia,Independent,Female,Secondary,Indigenous,462
Full-time equivalent,Western Australia,Independent,Female,Secondary,Non-Indigenous,18097.1
Full-time equivalent,Western Australia,Independent,Male,Primary,Indigenous,286
Full-time equivalent,Western Australia,Independent,Male,Primary,Non-Indigenous,13521.6
Full-time equivalent,Western Australia,Independent,Male,Secondary,Indigenous,517
Full-time equivalent,Western Australia,Independent,Male,Secondary,Non-Indigenous,17853.3
Full-time students,Australian Capital Territory,Catholic,Female,Primary,Indigenous,88
Full-time students,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4308
Full-time students,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,95
Full-time students,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,3979
Full-time students,Australian Capital Territory,Catholic,Male,Primary,Indigenous,118
Full-time students,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4738
Full-time students,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,81
Full-time students,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4366
Full-time students,Australian Capital Territory,Government,Female,Primary,Indigenous,407
Full-time students,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,11567
Full-time students,Australian Capital Territory,Government,Female,Secondary,Indigenous,326
Full-time students,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7945
Full-time students,Australian Capital Territory,Government,Male,Primary,Indigenous,517
Full-time students,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,12323
Full-time students,Australian Capital Territory,Government,Male,Secondary,Indigenous,297
Full-time students,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,8340
Full-time students,Australian Capital Territory,Independent,Female,Primary,Indigenous,28
Full-time students,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,2388
Full-time students,Australian Capital Territory,Independent,Female,Secondary,Indigenous,18
Full-time students,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2501
Full-time students,Australian Capital Territory,Independent,Male,Primary,Indigenous,19
Full-time students,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,2343
Full-time students,Australian Capital Territory,Independent,Male,Secondary,Indigenous,25
Full-time students,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2399
Full-time students,New South Wales,Catholic,Female,Primary,Indigenous,2199
Full-time students,New South Wales,Catholic,Female,Primary,Non-Indigenous,62589
Full-time students,New South Wales,Catholic,Female,Secondary,Indigenous,1763
Full-time students,New South Wales,Catholic,Female,Secondary,Non-Indigenous,60291
