State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),87.6
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",10.5
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,100.1
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,2
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,410.1
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),164.1
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",12.5
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,180.9
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,4.3
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,388.3
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),6.6
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",13.1
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,20.3
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,0.6
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,102.6
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),47.5
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",33.5
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,83
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,2
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,274.4
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),359.9
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",1.6
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,411.3
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,49.8
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1367.1
Australian Capital Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),326.6
Australian Capital Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",1
Australian Capital Territory,Government,Female,Secondary schools,Non-teaching staff,362.4
Australian Capital Territory,Government,Female,Secondary schools,Specialist support staff,34.8
Australian Capital Territory,Government,Female,Secondary schools,Teaching staff,788
Australian Capital Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),18.5
Australian Capital Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",61.1
Australian Capital Territory,Government,Male,Primary schools,Non-teaching staff,89.8
Australian Capital Territory,Government,Male,Primary schools,Specialist support staff,10.2
Australian Capital Territory,Government,Male,Primary schools,Teaching staff,242.8
Australian Capital Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),77.2
Australian Capital Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",37.9
Australian Capital Territory,Government,Male,Secondary schools,Non-teaching staff,120.7
Australian Capital Territory,Government,Male,Secondary schools,Specialist support staff,5.6
Australian Capital Territory,Government,Male,Secondary schools,Teaching staff,530.9
Australian Capital Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),90.7
