State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),93.7
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",9.7
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,104.8
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,1.4
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,433.3
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),179.6
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",9.5
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,192
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,2.9
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,385.7
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),6.4
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",12
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,19.5
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,1.1
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,97.7
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),45.4
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",28.5
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,79.6
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,5.7
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,255.5
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),435.8
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",2
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,500.6
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,62.8
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1378.6
