State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),79.8
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",10.5
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,93
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,2.7
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,376.3
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),153
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",6
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,166
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,7
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,371.7
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),2.4
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",9.3
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,11.7
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,0
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,101.3
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),40.1
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",23.6
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,66.7
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,3
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,256.3
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),346.9
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",1
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,394.6
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,46.7
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1233.1
Australian Capital Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),298.3
Australian Capital Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",0
Australian Capital Territory,Government,Female,Secondary schools,Non-teaching staff,345
Australian Capital Territory,Government,Female,Secondary schools,Specialist support staff,46.7
Australian Capital Territory,Government,Female,Secondary schools,Teaching staff,822.4
Australian Capital Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),14.9
Australian Capital Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",66.5
Australian Capital Territory,Government,Male,Primary schools,Non-teaching staff,92.7
Australian Capital Territory,Government,Male,Primary schools,Specialist support staff,11.3
Australian Capital Territory,Government,Male,Primary schools,Teaching staff,210.3
Australian Capital Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),65.5
Australian Capital Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",34.5
Australian Capital Territory,Government,Male,Secondary schools,Non-teaching staff,102.9
Australian Capital Territory,Government,Male,Secondary schools,Specialist support staff,2.9
Australian Capital Territory,Government,Male,Secondary schools,Teaching staff,498.9
Australian Capital Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),72.3
Australian Capital Territory,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",3.1
Australian Capital Territory,Independent,Female,Primary schools,Non-teaching staff,79.3
Australian Capital Territory,Independent,Female,Primary schools,Specialist support staff,3.9
