State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),92.7
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",8.5
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,102.2
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,1
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,425.1
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),154.4
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",16.3
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,175.2
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,4.5
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,391.5
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),5.9
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",10.8
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,17.7
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,1
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,102.1
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),42.2
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",27.1
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,74.2
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,4.9
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,272
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),430.5
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",1.5
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,503.4
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,71.4
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1460.8
