State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),80.3
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",9.7
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,92
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,2
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,367
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),153.5
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",6.9
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,166.8
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,6.4
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,362.6
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),2.9
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",12.7
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,16.2
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,0.6
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,104.3
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),37.4
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",28.8
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,67.2
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,1
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,253.1
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),324.6
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",0
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,366.9
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,42.3
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1186
Australian Capital Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),291.6
Australian Capital Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",0
Australian Capital Territory,Government,Female,Secondary schools,Non-teaching staff,326.6
Australian Capital Territory,Government,Female,Secondary schools,Specialist support staff,35
Australian Capital Territory,Government,Female,Secondary schools,Teaching staff,808
