State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),88.6
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",8.2
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,97.7
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,0.9
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,421.7
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),161.2
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",6.4
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,177.9
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,10.3
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,384.5
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),2
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",9.9
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,12.7
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,0.8
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,104.1
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),35.2
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",32.3
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,74.1
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,6.6
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,273.5
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),367.7
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",1
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,404.7
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,36
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1315.1
Australian Capital Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),336.3
Australian Capital Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",1
Australian Capital Territory,Government,Female,Secondary schools,Non-teaching staff,374.1
Australian Capital Territory,Government,Female,Secondary schools,Specialist support staff,36.8
Australian Capital Territory,Government,Female,Secondary schools,Teaching staff,850.1
Australian Capital Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),20.5
Australian Capital Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",59.2
Australian Capital Territory,Government,Male,Primary schools,Non-teaching staff,90.7
Australian Capital Territory,Government,Male,Primary schools,Specialist support staff,11
Australian Capital Territory,Government,Male,Primary schools,Teaching staff,229.4
Australian Capital Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),84.5
Australian Capital Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",36.3
Australian Capital Territory,Government,Male,Secondary schools,Non-teaching staff,126.8
Australian Capital Territory,Government,Male,Secondary schools,Specialist support staff,6
Australian Capital Territory,Government,Male,Secondary schools,Teaching staff,551.9
Australian Capital Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),107.3
Australian Capital Territory,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",5.4
Australian Capital Territory,Independent,Female,Primary schools,Non-teaching staff,116.4
Australian Capital Territory,Independent,Female,Primary schools,Specialist support staff,3.7
Australian Capital Territory,Independent,Female,Primary schools,Teaching staff,271.6
Australian Capital Territory,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),118.3
Australian Capital Territory,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",8
Australian Capital Territory,Independent,Female,Secondary schools,Non-teaching staff,132.2
Australian Capital Territory,Independent,Female,Secondary schools,Specialist support staff,5.9
Australian Capital Territory,Independent,Female,Secondary schools,Teaching staff,266.5
Australian Capital Territory,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),18.9
Australian Capital Territory,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",17.6
Australian Capital Territory,Independent,Male,Primary schools,Non-teaching staff,38.5
Australian Capital Territory,Independent,Male,Primary schools,Specialist support staff,2
Australian Capital Territory,Independent,Male,Primary schools,Teaching staff,59.8
Australian Capital Territory,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),28
Australian Capital Territory,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",32.4
Australian Capital Territory,Independent,Male,Secondary schools,Non-teaching staff,70.1
Australian Capital Territory,Independent,Male,Secondary schools,Specialist support staff,9.7
Australian Capital Territory,Independent,Male,Secondary schools,Teaching staff,189.5
New South Wales,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1658.5
New South Wales,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",76.7
New South Wales,Catholic,Female,Primary schools,Non-teaching staff,1851.7
New South Wales,Catholic,Female,Primary schools,Specialist support staff,116.5
New South Wales,Catholic,Female,Primary schools,Teaching staff,6251.2
New South Wales,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1970.5
New South Wales,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",160.1
New South Wales,Catholic,Female,Secondary schools,Non-teaching staff,2293.1
New South Wales,Catholic,Female,Secondary schools,Specialist support staff,162.5
New South Wales,Catholic,Female,Secondary schools,Teaching staff,5830.9
New South Wales,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),94.5
New South Wales,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",95.3
New South Wales,Catholic,Male,Primary schools,Non-teaching staff,204.7
New South Wales,Catholic,Male,Primary schools,Specialist support staff,14.9
New South Wales,Catholic,Male,Primary schools,Teaching staff,1036
New South Wales,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),443.1
New South Wales,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",343.6
New South Wales,Catholic,Male,Secondary schools,Non-teaching staff,862.5
New South Wales,Catholic,Male,Secondary schools,Specialist support staff,75.8
New South Wales,Catholic,Male,Secondary schools,Teaching staff,3838.9
New South Wales,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),8099.2
New South Wales,Government,Female,Primary schools,"Building operations, general maintenance and other staff",31.4
New South Wales,Government,Female,Primary schools,Non-teaching staff,8586.3
New South Wales,Government,Female,Primary schools,Specialist support staff,455.7
New South Wales,Government,Female,Primary schools,Teaching staff,24854.6
New South Wales,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),5370.5
New South Wales,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",40.4
New South Wales,Government,Female,Secondary schools,Non-teaching staff,5952.5
New South Wales,Government,Female,Secondary schools,Specialist support staff,541.6
New South Wales,Government,Female,Secondary schools,Teaching staff,14725.9
New South Wales,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),484
New South Wales,Government,Male,Primary schools,"Building operations, general maintenance and other staff",886.2
New South Wales,Government,Male,Primary schools,Non-teaching staff,1491.7
New South Wales,Government,Male,Primary schools,Specialist support staff,121.5
New South Wales,Government,Male,Primary schools,Teaching staff,4785.2
New South Wales,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),383.8
New South Wales,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",557.9
New South Wales,Government,Male,Secondary schools,Non-teaching staff,1090.3
New South Wales,Government,Male,Secondary schools,Specialist support staff,148.6
New South Wales,Government,Male,Secondary schools,Teaching staff,9665.5
