State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),81.3
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",10.2
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,93.7
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,2.2
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,393.9
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),161.1
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",5.4
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,173.3
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,6.8
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,384
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),3
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",11.7
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,15.2
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,0.5
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,98.2
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),42
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",29.5
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,74
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,2.5
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,255.8
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),355.6
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",1
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,410.4
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,53.8
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1346.8
Australian Capital Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),311.5
Australian Capital Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",0
Australian Capital Territory,Government,Female,Secondary schools,Non-teaching staff,341.7
Australian Capital Territory,Government,Female,Secondary schools,Specialist support staff,30.2
Australian Capital Territory,Government,Female,Secondary schools,Teaching staff,784.4
Australian Capital Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),15.6
Australian Capital Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",60.4
Australian Capital Territory,Government,Male,Primary schools,Non-teaching staff,89.2
Australian Capital Territory,Government,Male,Primary schools,Specialist support staff,13.2
Australian Capital Territory,Government,Male,Primary schools,Teaching staff,227.2
Australian Capital Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),74
Australian Capital Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",39.6
Australian Capital Territory,Government,Male,Secondary schools,Non-teaching staff,123.3
Australian Capital Territory,Government,Male,Secondary schools,Specialist support staff,9.7
Australian Capital Territory,Government,Male,Secondary schools,Teaching staff,538.8
Australian Capital Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),79.1
Australian Capital Territory,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",5.3
Australian Capital Territory,Independent,Female,Primary schools,Non-teaching staff,90.1
Australian Capital Territory,Independent,Female,Primary schools,Specialist support staff,5.7
Australian Capital Territory,Independent,Female,Primary schools,Teaching staff,242.6
Australian Capital Territory,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),110.4
Australian Capital Territory,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",8.2
Australian Capital Territory,Independent,Female,Secondary schools,Non-teaching staff,126
Australian Capital Territory,Independent,Female,Secondary schools,Specialist support staff,7.4
Australian Capital Territory,Independent,Female,Secondary schools,Teaching staff,244.8
Australian Capital Territory,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),12.6
Australian Capital Territory,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",15.9
Australian Capital Territory,Independent,Male,Primary schools,Non-teaching staff,30
Australian Capital Territory,Independent,Male,Primary schools,Specialist support staff,1.5
Australian Capital Territory,Independent,Male,Primary schools,Teaching staff,58.8
