State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),90.3
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",8.9
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,100.7
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,1.5
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,424.8
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),160.4
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",8.1
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,173.5
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,5
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,390.3
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),5.6
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",10.8
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,17.6
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,1.2
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,98.8
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),41.1
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",28.4
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,74.3
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,4.8
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,267.2
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),389.3
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",3
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,451
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,58.7
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1358.7
Australian Capital Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),358.1
Australian Capital Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",1
Australian Capital Territory,Government,Female,Secondary schools,Non-teaching staff,411.7
Australian Capital Territory,Government,Female,Secondary schools,Specialist support staff,52.6
Australian Capital Territory,Government,Female,Secondary schools,Teaching staff,850.8
Australian Capital Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),21.7
Australian Capital Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",54.4
Australian Capital Territory,Government,Male,Primary schools,Non-teaching staff,81.8
Australian Capital Territory,Government,Male,Primary schools,Specialist support staff,5.7
Australian Capital Territory,Government,Male,Primary schools,Teaching staff,255.9
Australian Capital Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),85.6
Australian Capital Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",34.4
Australian Capital Territory,Government,Male,Secondary schools,Non-teaching staff,134.8
Australian Capital Territory,Government,Male,Secondary schools,Specialist support staff,14.8
Australian Capital Territory,Government,Male,Secondary schools,Teaching staff,556.7
Australian Capital Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),116
Australian Capital Territory,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",2.2
Australian Capital Territory,Independent,Female,Primary schools,Non-teaching staff,124.8
Australian Capital Territory,Independent,Female,Primary schools,Specialist support staff,6.6
Australian Capital Territory,Independent,Female,Primary schools,Teaching staff,275.9
Australian Capital Territory,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),135.2
Australian Capital Territory,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",9.1
